	IWA ID	Category	Median Date	Median Data Value	Date Offset
111	4.A.1.a.1.I08	7	2010-06-01	3.85	3591 days 00:00:00.000000000
112	4.A.1.a.1.I09	1	2008-06-01	32.74	2861 days 00:00:00.000000000
113	4.A.1.a.1.I09	1	2012-07-01	4.14	4352 days 00:00:00.000000000
114	4.A.1.a.1.I09	2	2008-06-01	25.44	2861 days 00:00:00.000000000
115	4.A.1.a.1.I09	2	2012-07-01	23.1	4352 days 00:00:00.000000000
116	4.A.1.a.1.I09	3	2008-06-01	28.12	2861 days 00:00:00.000000000
117	4.A.1.a.1.I09	3	2012-07-01	23.9	4352 days 00:00:00.000000000
118	4.A.1.a.1.I09	4	2008-06-01	12.67	2861 days 00:00:00.000000000
119	4.A.1.a.1.I09	4	2012-07-01	14.13	4352 days 00:00:00.000000000
120	4.A.1.a.1.I09	5	2008-06-01	10.25	2861 days 00:00:00.000000000
121	4.A.1.a.1.I09	5	2012-07-01	11.11	4352 days 00:00:00.000000000
122	4.A.1.a.1.I09	6	2008-06-01	1.54	2861 days 00:00:00.000000000
123	4.A.1.a.1.I09	6	2012-07-01	3.06	4352 days 00:00:00.000000000
124	4.A.1.a.1.I09	7	2008-06-01	1.71	2861 days 00:00:00.000000000
125	4.A.1.a.1.I09	7	2012-07-01	0.0	4352 days 00:00:00.000000000
126	4.A.1.a.1.I10	1	2006-12-01	11.11	2313 days 00:00:00.000000000
127	4.A.1.a.1.I10	1	2013-07-01	14.26	4717 days 00:00:00.000000000
128	4.A.1.a.1.I10	2	2006-12-01	33.33	2313 days 00:00:00.000000000
129	4.A.1.a.1.I10	2	2013-07-01	32.0	4717 days 00:00:00.000000000
130	4.A.1.a.1.I10	3	2006-12-01	24.0	2313 days 00:00:00.000000000
131	4.A.1.a.1.I10	3	2013-07-01	27.11	4717 days 00:00:00.000000000
132	4.A.1.a.1.I10	4	2006-12-01	12.28	2313 days 00:00:00.000000000
133	4.A.1.a.1.I10	4	2013-07-01	12.66	4717 days 00:00:00.000000000
134	4.A.1.a.1.I10	5	2006-12-01	9.44	2313 days 00:00:00.000000000
135	4.A.1.a.1.I10	5	2013-07-01	7.09	4717 days 00:00:00.000000000
136	4.A.1.a.1.I10	6	2006-12-01	0.0	2313 days 00:00:00.000000000
137	4.A.1.a.1.I10	6	2013-07-01	0.15	4717 days 00:00:00.000000000
138	4.A.1.a.1.I10	7	2006-12-01	1.65	2313 days 00:00:00.000000000
139	4.A.1.a.1.I10	7	2013-07-01	0.0	4717 days 00:00:00.000000000
140	4.A.1.a.1.I11	1	2004-12-01	1.28	1583 days 00:00:00.000000000
141	4.A.1.a.1.I11	1	2014-07-01	0.0	5082 days 00:00:00.000000000
142	4.A.1.a.1.I11	2	2004-12-01	5.67	1583 days 00:00:00.000000000
143	4.A.1.a.1.I11	2	2014-07-01	13.64	5082 days 00:00:00.000000000
144	4.A.1.a.1.I11	3	2004-12-01	19.95	1583 days 00:00:00.000000000
145	4.A.1.a.1.I11	3	2014-07-01	19.05	5082 days 00:00:00.000000000
146	4.A.1.a.1.I11	4	2004-12-01	16.37	1583 days 00:00:00.000000000
147	4.A.1.a.1.I11	4	2014-07-01	18.18	5082 days 00:00:00.000000000
148	4.A.1.a.1.I11	5	2004-12-01	23.78	1583 days 00:00:00.000000000
149	4.A.1.a.1.I11	5	2014-07-01	23.81	5082 days 00:00:00.000000000
150	4.A.1.a.1.I11	6	2004-12-01	15.34	1583 days 00:00:00.000000000
151	4.A.1.a.1.I11	6	2014-07-01	28.57	5082 days 00:00:00.000000000
152	4.A.1.a.1.I11	7	2004-12-01	5.43	1583 days 00:00:00.000000000
153	4.A.1.a.1.I11	7	2014-07-01	0.0	5082 days 00:00:00.000000000
154	4.A.1.a.1.I12	1	2008-06-01	0.0	2861 days 00:00:00.000000000
155	4.A.1.a.1.I12	1	2012-07-01	0.0	4352 days 00:00:00.000000000
156	4.A.1.a.1.I12	2	2008-06-01	3.85	2861 days 00:00:00.000000000
157	4.A.1.a.1.I12	2	2012-07-01	0.48	4352 days 00:00:00.000000000
158	4.A.1.a.1.I12	3	2008-06-01	7.69	2861 days 00:00:00.000000000
159	4.A.1.a.1.I12	3	2012-07-01	4.55	4352 days 00:00:00.000000000
160	4.A.1.a.1.I12	4	2008-06-01	9.66	2861 days 00:00:00.000000000
161	4.A.1.a.1.I12	4	2012-07-01	8.0	4352 days 00:00:00.000000000
162	4.A.1.a.1.I12	5	2008-06-01	16.67	2861 days 00:00:00.000000000
163	4.A.1.a.1.I12	5	2012-07-01	17.31	4352 days 00:00:00.000000000
